tvk,code,taxon
NHMSYS0000501401,1,Aristotelia subdecurtella
NHMSYS0000501425,2,Athrips tetrapunctella
NHMSYS0000501648,2,Caryocolum blandulella
NHMSYS0000501650,1,Caryocolum huebneri
NHMSYS0000502151,1,Dichomeris derasella
NBNSYS0100003245,2,Gelechia sabinellus
NHMSYS0000502714,2,Gelechia turpella
NHMSYS0000502746,1,Gnorimoschema streliciella
NHMSYS0000503210,1,Mesophleps silacella
NHMSYS0000503278,2,Monochroa niphognatha
NHMSYS0000503405,1,Nothris verbascella
NHMSYS0000503930,1,Psamathocrita osseella
NBNSYS0000005366,2,Scrobipalpa pauperella
NHMSYS0000504153,1,Scrobipalpa stangei
NHMSYS0000504156,1,Scrobipalpula diffluella
NHMSYS0001703664,2,Syncopacma albifrontella
NHMSYS0000504428,3,Syncopacma albipalpella
NHMSYS0000504433,3,Syncopacma suecicella
NHMSYS0000504435,3,Syncopacma vinella
NHMSYS0000504676,2,Xystophora pulveratella
