code,taxon,tvk
4,Buckleria paludum,NBNSYS0000027027
3,Agdistis meridionalis,NBNSYS0100001387
3,Hellinsia chrysocomae,NBNSYS0100003432
3,Hellinsia osteodactylus,NBNSYS0100003433
3,Merrifieldia baliodactylus,NBNSYS0100004009
3,Merrifieldia leucodactyla,NBNSYS0100004010
3,Merrifieldia tridactyla,NBNSYS0100004011
3,Stenoptilia islandicus,NBNSYS0100005592
3,Agdistis bennetii,NHMSYS0000501029
1,Alucita hexadactyla,NHMSYS0000501204
3,Amblyptilia punctidactyla,NHMSYS0000501211
2,Emmelina monodactyla,NHMSYS0000502352
2,Marasmarcha lunaedactyla,NHMSYS0000503165
3,Oidaematophorus lithodactyla,NHMSYS0000503464
3,Oxyptilus distans,NHMSYS0000503531
4,Oxyptilus laetus,NHMSYS0000503532
4,Oxyptilus pilosellae,NHMSYS0000503534
3,Platyptilia isodactylus,NHMSYS0000503853
3,Pselnophorus heterodactyla,NHMSYS0000503933
1,Pterophorus pentadactyla,NHMSYS0000503972
3,Stenoptilia bipunctidactyla,NHMSYS0000504309
5,Stenoptilia gallobritannidactyla,NHMSYS0000504310
4,Stenoptilia pneumonanthes,NHMSYS0000504313
3,Stenoptilia pterodactyla,NHMSYS0000504314
4,Stenoptilia scabiodactylus,NHMSYS0000504316
2,Stenoptilia zophodactylus,NHMSYS0000504317
4,Stenoptilia annadactyla,NHMSYS0020547811
4,Emmelina argoteles,NHMSYS0020732915
3,Platyptilia gonodactyla,NHMSYS0021142889
3,Platyptilia calodactyla,NHMSYS0021142891
3,Gillmeria pallidactyla,NHMSYS0021142897
3,Gillmeria ochrodactyla,NHMSYS0021142899
3,Amblyptilia acanthadactyla,NHMSYS0021142903
3,Stenoptilia millieridactyla,NHMSYS0021142918
2,Cnaemidophorus rhododactyla,NHMSYS0021142921
3,Oxyptilus parvidactyla,NHMSYS0021142925
3,Capperia britanniodactylus,NHMSYS0021142927
2,Porrittia galactodactyla,NHMSYS0021142934
2,Wheeleria spilodactylus,NHMSYS0021142946
3,Hellinsia tephradactyla,NHMSYS0021142949
3,Hellinsia carphodactyla,NHMSYS0021142950
3,Hellinsia lienigianus,NHMSYS0021142951
3,Adaina microdactyla,NHMSYS0021142957
