tvk,value_code,taxon
NHMSYS0021123706,5,Crocothemis servilia
NBNSYS0000005598,1,Platycnemis pennipes
NBNSYS0000005599,1,Pyrrhosoma nymphula
NBNSYS0000005601,3,Ischnura pumilio
NBNSYS0000005602,2,Enallagma cyathigerum
NBNSYS0000005603,3,Coenagrion mercuriale
NBNSYS0000005604,3,Coenagrion scitulum
NBNSYS0000005605,4,Coenagrion pulchellum
NBNSYS0000005606,2,Coenagrion puella
NBNSYS0000005607,3,Coenagrion hastulatum
NBNSYS0000005610,2,Erythromma najas
NBNSYS0000005611,1,Ceriagrion tenellum
NBNSYS0000005612,3,Lestes barbarus
NBNSYS0000005613,2,Lestes sponsa
NBNSYS0000005614,3,Lestes dryas
NBNSYS0000005616,4,Calopteryx virgo
NBNSYS0000005617,4,Calopteryx splendens
NBNSYS0000005620,1,Gomphus vulgatissimus
NBNSYS0000005621,1,Cordulegaster boltonii
NBNSYS0000005622,2,Brachytron pratense
NBNSYS0000005623,3,Aeshna caerulea
NBNSYS0000005624,1,Aeshna juncea
NBNSYS0000005625,1,Aeshna grandis
NBNSYS0000005626,1,Aeshna cyanea
NBNSYS0000005627,1,Aeshna mixta
NBNSYS0000005630,1,Anax imperator
NBNSYS0000005632,2,Cordulia aenea
NBNSYS0000005635,3,Somatochlora arctica
NBNSYS0000005637,1,Libellula depressa
NBNSYS0000005638,2,Libellula fulva
NBNSYS0000005639,1,Libellula quadrimaculata
NBNSYS0000005640,2,Orthetrum coerulescens
NBNSYS0000005641,2,Orthetrum cancellatum
NBNSYS0000005642,5,Pantala flavescens
NBNSYS0000005643,4,Crocothemis erythraea
NBNSYS0000005645,1,Sympetrum striolatum
NBNSYS0000005649,3,Sympetrum flaveolum
NBNSYS0000005650,2,Sympetrum sanguineum
NBNSYS0000005651,2,Sympetrum danae
NHMSYS0000344169,3,Anax parthenope
NHMSYS0000344177,3,Erythromma viridulum
NHMSYS0000344179,1,Ischnura elegans
NHMSYS0000344188,3,Sympetrum fonscolombii
NHMSYS0020546806,4,Aeshna affinis
NHMSYS0020546892,1,Leucorrhinia dubia
NHMSYS0020546972,3,Somatochlora metallica
NHMSYS0021123700,3,Ischnura senegalensis
NHMSYS0021009098,4,Anax ephippiger
NBNSYS0000005644,5,Sympetrum vulgatum
NHMSYS0000344168,5,Anax junius
NBNSYS0000005636,3,Oxygastra curtisii
NHMSYS0021009106,5,Stylurus flavipes
NBNSYS0000005618,4,Sympecma fusca
NHMSYS0000344190,3,Sympetrum pedemontanum
NBNSYS0000005609,3,Coenagrion lunulatum
NHMSYS0000532361,5,Ischnura genei
