start_day,start_month,end_day,end_month,stage,taxon,tvk
1,5,31,8,mature,Papilio machaon,NBNSYS0000005514
1,5,31,8,mature,Plebejus argus,NBNSYS0000005539
1,1,31,12,mature,Cacyreus marshalli,NBNSYS0100002143
1,5,31,10,mature,Issoria lathonia,NBNSYS0100003607
1,6,31,10,mature,Limenitis camilla,NBNSYS0100003750
1,2,30,11,mature,Vanessa cardui,NBNSYS0100005950
1,1,31,12,mature,Aglais urticae,NHMSYS0000501034
1,6,31,8,mature,Apatura iris,NHMSYS0000501116
1,6,31,8,mature,Aphantopus hyperantus,NHMSYS0000501120
1,5,31,8,mature,Aporia crataegi,NHMSYS0000501147
1,4,30,9,mature,Araschnia levana,NHMSYS0000501166
1,6,30,9,mature,Argynnis paphia,NHMSYS0000501356
1,4,30,9,mature,Boloria euphrosyne,NHMSYS0000501513
1,3,31,7,mature,Callophrys rubi,NHMSYS0000501598
1,5,31,7,mature,Carterocephalus palaemon,NHMSYS0000501644
1,5,30,11,mature,Colias croceus,NHMSYS0000501953
1,5,31,10,mature,Colias hyale,NHMSYS0000501954
1,4,30,9,mature,Cupido minimus,NHMSYS0000502045
1,6,31,7,mature,Cyaniris semiargus,NHMSYS0000502047
1,7,31,10,mature,Danaus plexippus,NHMSYS0000502090
1,4,31,7,mature,Hamearis lucina,NHMSYS0000502800
1,7,30,9,mature,Hesperia comma,NHMSYS0000502853
1,5,30,9,mature,Iphiclides podalirius,NHMSYS0000502952
1,1,31,12,mature,Lampides boeticus,NHMSYS0000502994
1,4,31,10,mature,Lasiommata megera,NHMSYS0000503020
1,5,30,9,mature,Melitaea athalia,NHMSYS0000503190
1,5,30,9,mature,Melitaea cinxia,NHMSYS0000503191
1,3,31,10,mature,Pieris brassicae,NHMSYS0000503827
1,3,31,10,mature,Pieris rapae,NHMSYS0000503832
1,1,31,12,mature,Polygonia c-album,NHMSYS0000503893
1,6,31,10,mature,Pontia daplidice,NHMSYS0000503906
1,4,31,8,mature,Pyrgus malvae,NHMSYS0000504013
1,6,31,7,mature,Satyrium pruni,NHMSYS0000504084
1,6,31,8,mature,Satyrium w-album,NHMSYS0000504085
1,7,31,10,mature,Thecla betulae,NHMSYS0000504486
1,5,31,10,mature,Thymelicus acteon,NHMSYS0000504513
1,6,30,9,mature,Thymelicus lineola,NHMSYS0000504514
1,6,30,9,mature,Thymelicus sylvestris,NHMSYS0000504515
1,1,31,12,mature,Vanessa atalanta,NHMSYS0000504624
1,8,31,10,mature,Vanessa virginiensis,NHMSYS0000504626
1,7,31,8,mature,Heteropterus morpheus,NHMSYS0000515916
1,3,31,7,mature,Anthocharis cardamines,NHMSYS0000516186
1,5,30,9,mature,Aricia artaxerxes,NHMSYS0000516231
1,3,31,10,mature,Celastrina argiolus,NHMSYS0000516260
1,5,31,8,mature,Euphydryas aurinia,NHMSYS0000516340
1,1,30,11,mature,Gonepteryx rhamni,NHMSYS0000516380
1,4,30,9,mature,Leptidea sinapis,NHMSYS0000516430
1,7,31,8,mature,Lycaena dispar,NHMSYS0000516450
1,3,30,11,mature,Lycaena phlaeas,NHMSYS0000516465
1,1,31,12,mature,Nymphalis antiopa,NHMSYS0000516570
1,1,31,12,mature,Nymphalis polychloros,NHMSYS0000516575
1,3,31,10,mature,Pieris napi,NHMSYS0000516630
1,4,31,10,mature,Polyommatus icarus,NHMSYS0000516660
1,6,31,8,mature,Coenonympha tullia,NHMSYS0000519078
1,4,31,10,mature,Coenonympha pamphilus,NHMSYS0000519083
1,7,30,9,mature,Erebia aethiops,NHMSYS0000519783
1,6,31,8,mature,Erebia epiphron,NHMSYS0000519788
1,6,30,9,mature,Hipparchia semele,NHMSYS0000520428
1,5,31,10,mature,Maniola jurtina,NHMSYS0000521977
1,6,31,8,mature,Melanargia galathea,NHMSYS0000522017
1,6,30,9,mature,Pyronia tithonus,NHMSYS0000522857
1,2,30,11,mature,Pararge aegeria,NHMSYS0000523344
1,4,31,8,mature,Erynnis tages,NHMSYS0000550499
1,5,30,9,mature,Ochlodes sylvanus,NHMSYS0020755521
1,6,31,8,mature,Phengaris arion,NHMSYS0020757917
1,7,30,9,mature,Cupido argiades,NHMSYS0020825929
1,6,30,9,mature,Polyommatus coridon,NHMSYS0020825965
1,4,30,9,mature,Leptidea juvernica,NHMSYS0020978559
1,6,30,9,mature,Favonius quercus,NHMSYS0021002801
1,5,31,10,mature,Colias alfacariensis,NHMSYS0021143487
1,5,30,9,mature,Boloria selene,NHMSYS0021143547
1,1,31,12,mature,Aglais io,NHMSYS0021143568
1,4,30,9,mature,Aricia agestis,NHMSYS0021143605
1,4,30,9,mature,Polyommatus bellargus,NHMSYS0021143616
1,5,30,9,mature,Speyeria aglaja,NHMSYS0021297309
1,6,30,9,mature,Fabriciana adippe,NHMSYS0021459983
